Date,BAJAJ-AUTO,EICHERMOT,HEROMOTOCO,M&M,MARUTI,TATAMOTORS,BOSCHLTD,MRF,MOTHERSUMI
01-01-2019,2552.33,2110.19,2879.56,759.45,7308.21,173.45,19110.49,66613.48,157.84
02-01-2019,2519.90,1925.25,2804.94,728.37,7103.97,168.55,19014.14,66448.24,156.21
03-01-2019,2528.65,1838.75,2775.57,705.39,7041.51,166.05,18840.43,66630.48,153.83
04-01-2019,2559.40,1828.94,2750.90,712.56,7071.37,170.95,18976.02,66415.98,151.35
07-01-2019,2488.59,1804.08,2723.37,716.44,7196.04,175.35,19045.97,66790.32,149.87
08-01-2019,2522.57,1823.57,2734.74,710.40,7271.75,179.95,18841.16,66253.19,150.97
09-01-2019,2524.49,1845.99,2704.49,713.25,7323.94,183.05,19012.73,65884.67,154.50
10-01-2019,2551.07,1870.10,2687.97,720.03,7224.93,185.75,19234.96,66513.27,154.50
11-01-2019,2547.00,1865.69,2669.32,714.82,7155.43,180.30,19053.19,66749.13,153.78
14-01-2019,2526.59,1863.22,2639.63,711.53,7241.64,182.40,18661.05,66465.73,154.31
15-01-2019,2551.59,1877.57,2680.10,713.84,7189.30,185.35,18674.67,66009.59,153.30
16-01-2019,2543.72,1886.44,2651.46,713.20,7145.41,185.45,18634.99,65805.76,154.83
17-01-2019,2555.14,1853.17,2673.33,721.45,7170.83,184.90,18694.69,65617.87,152.25
18-01-2019,2546.81,1830.68,2668.86,721.74,7192.04,183.30,18753.16,65555.05,150.30
21-01-2019,2512.97,1822.06,2572.65,717.18,7045.86,181.50,18592.62,65940.27,155.40
22-01-2019,2516.48,1821.66,2600.87,695.77,6909.46,180.85,18751.11,65076.21,155.07
23-01-2019,2503.14,1827.62,2574.22,683.35,6886.54,180.25,18635.72,65886.36,150.30
24-01-2019,2482.13,1830.03,2568.92,684.77,6881.84,175.40,18699.42,64720.36,146.96
25-01-2019,2458.45,1824.05,2458.39,671.22,6366.53,173.25,18085.25,63741.32,143.86
28-01-2019,2401.53,1818.36,2392.52,660.96,6364.23,172.30,17827.68,62384.14,138.61
29-01-2019,2403.50,1717.37,2424.46,657.62,6379.78,173.60,17739.38,61694.29,135.70
30-01-2019,2339.89,1721.18,2403.93,666.46,6400.60,174.60,18014.81,61157.04,134.80
31-01-2019,2391.24,1729.06,2406.65,667.83,6491.40,181.20,18402.95,61116.96,134.13
01-02-2019,2436.35,1788.89,2584.62,676.03,6805.31,181.65,18856.34,61103.49,132.89
04-02-2019,2473.56,1831.18,2559.67,662.33,6830.63,180.25,18594.67,59738.20,131.93
05-02-2019,2537.36,1863.15,2628.17,672.59,6933.65,175.80,18602.78,59835.67,130.22
06-02-2019,2593.05,1919.97,2651.65,682.61,7021.42,178.50,18790.06,59767.56,131.27
07-02-2019,2671.17,1992.75,2705.97,688.31,7137.89,182.85,18767.12,59243.59,135.37
08-02-2019,2669.11,1896.60,2705.78,669.84,6973.38,150.70,18469.91,56292.71,129.07
11-02-2019,2671.17,1888.03,2710.66,635.91,7016.05,152.65,18351.21,55190.07,126.59
12-02-2019,2651.28,1923.00,2626.69,637.04,7000.99,151.80,18149.63,55199.84,122.82
14-02-2019,2642.62,1821.00,2604.78,623.00,6859.26,159.85,17653.86,56143.98,129.31
15-02-2019,2645.29,1840.81,2529.95,616.27,6773.79,161.65,17722.78,54984.84,124.73
18-02-2019,2614.91,1833.63,2517.85,613.48,6688.41,162.90,17295.31,54310.00,123.73
19-02-2019,2609.62,1856.79,2474.03,621.23,6651.12,163.75,17338.55,54078.39,125.45
20-02-2019,2597.31,1867.60,2461.74,622.17,6695.44,164.80,17742.99,54642.13,128.26
21-02-2019,2634.05,1860.22,2478.16,622.80,6648.18,169.70,17618.92,54559.80,129.50
22-02-2019,2636.77,1873.68,2514.38,634.98,6756.53,174.30,17689.40,54809.27,136.90
25-02-2019,2665.50,1883.63,2545.01,639.01,6768.75,175.75,17904.06,55187.57,151.87
26-02-2019,2676.50,1875.92,2523.01,639.60,6748.62,182.65,18317.29,55798.63,150.20
27-02-2019,2728.36,1856.61,2513.16,644.36,6811.37,177.35,18369.81,56705.97,148.10
28-02-2019,2715.16,1807.60,2465.82,634.29,6675.70,177.45,18573.39,56682.84,155.12
01-03-2019,2680.43,1814.84,2510.39,638.03,6778.77,180.30,18303.42,56971.59,153.11
05-03-2019,2718.11,1956.47,2623.03,644.95,6957.25,194.05,18472.85,57504.27,156.88
06-03-2019,2740.44,1956.33,2595.07,647.06,6897.78,188.80,18425.89,58404.93,160.55
07-03-2019,2733.23,1957.93,2561.53,659.73,6870.55,189.30,18046.15,57680.28,157.79
08-03-2019,2766.74,1989.73,2571.14,658.11,6810.59,181.20,17991.14,56869.38,155.74
11-03-2019,2808.72,2089.93,2640.95,668.81,6922.21,181.85,18645.63,57549.19,164.08
12-03-2019,2804.56,2043.49,2635.04,675.54,6995.81,184.80,18628.40,57013.38,160.32
13-03-2019,2817.57,2072.17,2630.54,671.91,6931.16,181.70,18165.93,57256.30,157.93
14-03-2019,2823.98,2057.86,2581.79,673.58,6926.51,179.55,18117.70,57003.85,155.69
15-03-2019,2830.49,2057.17,2566.92,682.12,6924.27,180.00,17928.08,57450.66,157.60
18-03-2019,2813.03,2024.33,2504.67,671.91,6738.55,182.25,18030.68,57275.40,154.78
19-03-2019,2784.53,1979.55,2452.64,677.01,6671.30,182.85,18002.27,57285.87,154.11
20-03-2019,2761.08,1941.24,2448.04,666.41,6523.07,180.20,17954.97,56819.51,149.82
22-03-2019,2761.17,1951.14,2442.56,666.60,6404.95,175.40,17851.74,56391.84,140.23
25-03-2019,2768.85,1924.26,2416.66,652.66,6375.52,171.30,17749.77,55851.84,137.61
26-03-2019,2764.03,1945.24,2415.49,657.57,6437.20,173.10,17749.77,56025.25,138.28
27-03-2019,2789.58,1908.13,2386.17,648.19,6371.03,169.85,17531.79,56429.14,135.89
28-03-2019,2760.28,1901.30,2369.79,644.16,6447.51,170.55,17460.38,56141.74,139.04
01-04-2019,2729.25,1823.91,2400.52,649.03,6686.45,187.35,17674.85,59997.98,146.58
02-04-2019,2670.70,1872.60,2411.27,656.59,6734.35,202.95,17519.05,60223.60,147.68
03-04-2019,2665.27,1837.95,2421.12,646.62,6913.42,201.35,17577.33,59874.66,143.10
04-04-2019,2676.32,1864.05,2474.36,641.61,6952.71,206.15,17407.81,59837.71,143.34
05-04-2019,2678.70,1908.69,2456.72,646.37,6947.43,205.15,17566.49,60093.06,144.29
08-04-2019,2670.93,1875.25,2427.12,655.02,6968.69,200.55,17566.59,58758.85,143.19
09-04-2019,2737.82,1905.67,2461.65,655.85,7053.83,205.90,17431.68,57482.28,144.15
10-04-2019,2754.76,1908.10,2434.21,658.21,7024.31,216.05,17365.20,57333.24,141.33
11-04-2019,2802.31,1910.32,2440.49,660.66,7025.77,218.20,17406.94,57310.45,142.76
12-04-2019,2815.84,1943.34,2476.90,666.01,7177.28,215.95,17552.54,58354.42,142.29
15-04-2019,2841.02,1940.69,2533.94,670.92,7186.71,231.75,17621.89,57987.58,147.34
16-04-2019,2872.28,1935.10,2570.49,675.74,7290.37,230.50,17838.46,57896.04,150.92
18-04-2019,2873.27,1912.66,2572.27,672.35,7279.52,236.25,17740.89,57652.80,149.92
22-04-2019,2856.14,1855.98,2523.43,661.30,7156.17,234.85,17667.09,56439.11,145.58
23-04-2019,2844.86,1848.16,2475.16,653.79,6889.96,231.65,17519.20,56408.50,143.19
24-04-2019,2879.16,1867.87,2450.62,656.14,6858.48,223.60,17577.13,55488.99,142.00
25-04-2019,2890.63,1850.46,2450.95,653.20,6749.55,221.85,17567.96,55268.10,141.33
26-04-2019,2850.00,1849.59,2443.21,647.60,6688.55,215.60,17589.68,54260.04,137.85
30-04-2019,2793.33,1853.02,2356.75,633.71,6516.08,214.30,17590.02,52759.14,139.76
02-05-2019,2836.81,1870.92,2394.14,634.29,6532.55,207.30,17557.81,52280.31,133.84
03-05-2019,2864.14,1851.57,2407.00,634.20,6558.70,209.45,17594.41,52964.46,135.08
06-05-2019,2832.73,1851.34,2375.00,627.03,6558.36,199.80,17591.83,53669.47,127.45
07-05-2019,2839.15,1851.64,2371.30,624.57,6550.88,190.95,17361.35,52798.68,125.59
08-05-2019,2768.66,1850.13,2345.35,610.48,6500.20,185.10,16916.35,53968.54,124.49
09-05-2019,2792.20,1852.34,2381.05,614.21,6475.57,186.35,16752.35,54281.13,123.11
